"Date","rlc_end_time","nubbinID","uid","rlc_day","phase_full","tp2","pmax","maxNPQ_Ypoint1","deltaNPQ","alpha_est","alpha_st_err","alpha_t","alpha_p","ek_est","ek_st_err","ek_t","ek_p","QuanYield","F0","Fm","rlc_order","genotype","phase","trt1","trt2","rank"
"2024-06-25","10:20:22 AM",22,"2024-06-25_22",1,"acclimation","a",34.79,0.262,0.276,0.733500349974997,0.0266473827749486,27.5261685610853,1.51997424968833e-07,47.4269761267413,3.48216448211527,13.6199700991526,9.72619094831924e-06,0.67,240,727,7,"H","i","nut","NH4",19
"2024-06-25","10:26:13 AM",16,"2024-06-25_16",1,"acclimation","a",117.23,1.078,1.022,0.751565822602518,0.015746663986829,47.7285743336588,5.67066741852154e-09,155.983396058681,9.15283057605368,17.0420936739261,2.61125068855788e-06,0.74,195,750,7,"F","i","CTL","CTL",20
"2024-06-25","10:31:51 AM",9,"2024-06-25_9",1,"acclimation","a",38.29,0.304,0.289,0.722565406086034,0.026983358612359,26.778186380219,1.79108631767643e-07,52.9985107704343,4.13906331511843,12.8044696916935,1.3936099325845e-05,0.637,254,699,7,"C","i","dead","dead",21
"2024-06-25","10:37:34 AM",2,"2024-06-25_2",1,"acclimation","a",34.56,0.492,0.471,0.795487004471968,0.0228255116577406,34.8507852266348,3.71886302351276e-08,43.4510619141355,2.45103374200862,17.7276473878844,2.06934071007506e-06,0.693,210,685,8,"A","i","dead","dead",22
"2024-06-25","10:42:17 AM",19,"2024-06-25_19",1,"acclimation","a",66.18,1,0.978,0.821626498308831,0.0203116885277993,40.4509205221576,1.5260208490409e-08,80.546711067688,4.69567679727325,17.1533762959284,2.51296929916695e-06,0.734,242,910,8,"G","i","CTL","CTL",23
"2024-06-25","11:20:48 AM",1,"2024-06-25_1",1,"acclimation","a",26.27,0.317,0.302,0.772981525542971,0.0262678519732452,29.426902752851,1.02085472311457e-07,33.9847069538607,2.0942447062215,16.2276675943839,3.48398737983674e-06,0.656,216,627,8,"A","i","dead","dead",24
"2024-06-25","11:25:33 AM",17,"2024-06-25_17",1,"acclimation","a",95.16,1.167,1.161,0.698065385842284,0.0197090728547884,35.4184791433599,3.37663700712758e-08,136.317299094689,10.4042180701823,13.1021185998941,1.21919322764183e-05,0.72,261,932,9,"F","i","nut","NO3",25
"2024-06-25","11:30:11 AM",45,"2024-06-25_45",1,"acclimation","a",52.06,0.63,0.598,0.741258674925538,0.028542708926654,25.9701585028368,2.14960213011334e-07,70.2335703241084,6.14071041269036,11.4373689042499,2.68035722543833e-05,0.682,186,585,9,"O","i","CTL","CTL",26
"2024-06-25","11:36:25 AM",11,"2024-06-25_11",1,"acclimation","a",86.2,1.006,0.947,0.704324476484203,0.0162666345298795,43.2987213913524,1.01580540397571e-08,122.381623516692,7.43241169599441,16.4659371039211,3.19760481593455e-06,0.717,203,718,9,"D","i","nut","NO3",27
"2024-06-25","11:41:02 AM",48,"2024-06-25_48",1,"acclimation","a",34.12,0.484,0.466,0.793320889889826,0.0330686892088845,23.9900918019057,3.44577768123668e-07,43.0135521934757,3.51341860374135,12.2426494092311,1.80834950082734e-05,0.657,218,635,10,"P","i","CTL","CTL",28
