"Date","Phase","E4","E1","E2","J1","J2","J3","J4","J5","J6","J7","bin_temp","Jar_temp"
2024-06-28,"acclimation",26.1327142857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.1327142857143,NA
2024-06-29,"acclimation",26.2739523809524,25.804,25.9456071428571,NA,NA,NA,NA,NA,NA,NA,26.2541507938095,NA
2024-06-30,"acclimation",26.3130208333333,25.9166428571429,26.1698571428571,NA,NA,NA,NA,NA,NA,NA,26.2912916670833,NA
2024-07-01,"acclimation",26.3541458333333,26.3031041666667,26.4167916666667,NA,NA,NA,NA,NA,NA,NA,26.3580138891667,NA
2024-07-02,"acclimation",26.5312083333333,26.4315416666667,26.3973125,NA,NA,NA,NA,NA,NA,NA,26.4533541666667,NA
2024-07-03,"acclimation",27.13955,26.93625,27.0499,NA,NA,NA,NA,NA,NA,NA,27.041899999,NA
2024-07-03,"heating",26.8779285714286,26.6873571428571,26.7131071428571,NA,NA,NA,NA,NA,NA,NA,26.759464285,NA
2024-07-04,"heating",28.067375,27.9820208333333,28.041125,NA,NA,NA,NA,NA,NA,NA,28.03017361125,NA
2024-07-05,"heating",28.6008125,28.4238958333333,28.5731875,NA,NA,NA,NA,NA,NA,NA,28.53263194375,NA
2024-07-06,"heating",28.8070208333333,28.6838958333333,28.7392708333333,NA,NA,NA,NA,NA,NA,NA,28.74339583375,NA
2024-07-07,"heating",29.1529375,28.8856666666667,28.8628541666667,NA,NA,NA,NA,NA,NA,NA,28.9671527770833,NA
2024-07-08,"heating",29.4065,29.0592916666667,28.9654791666667,NA,NA,NA,NA,NA,NA,NA,29.1437569441667,NA
2024-07-09,"heating",29.4663541666667,29.0815625,29.2623541666667,32.34275,32.1375,32.42,NA,33.1705,32.1625,31.906,29.2700902775,32.35654167
2024-07-10,"heating",29.5306666666667,29.0625625,29.2515416666667,28.5290357142857,28.5557857142857,28.8782142857143,NA,28.9424285714286,28.4040714285714,28.4878571428571,29.2815902779167,28.63289881
2024-07-11,"heating",29.309625,29.0323333333333,29.0885208333333,29.138875,29.0064375,29.535375,30.78575,29.6460416666667,29.1592291666667,29.1209375,29.143493055,29.2624751983333
2024-07-12,"heating",28.9243125,28.5291875,28.8644583333333,28.8483541666667,28.6288541666667,29.1124166666667,27.8155,28.822125,29.0118333333333,28.7655208333333,28.7726527779167,28.8412906745833
2024-07-13,"heating",28.9013541666667,28.5459375,28.7911041666667,28.8555208333333,28.4960208333333,29.0242708333333,28.475375,28.670625,29.0554791666667,28.734125,28.746131945,28.7587738108333
2024-07-14,"heating",28.9472291666667,28.6366458333333,28.788875,28.8482291666667,28.6315625,29.3122291666667,28.5597916666667,29.0678333333333,29.3293333333333,29.0610208333333,28.7909166670833,28.9728571433333
2024-07-15,"heating",29.3015625,28.990125,29.0636458333333,29.1623541666667,28.9397083333333,29.4913125,28.9773125,29.508375,29.6497916666667,29.4252916666667,29.1184444445833,29.30773511875
2024-07-16,"heating",29.2506041666667,28.93725,29.0435,29.0892916666667,28.9728958333333,29.46575,29.0478958333333,29.5034791666667,29.6343958333333,29.5643541666667,29.0771180554167,29.3254375004167
2024-07-17,"heating",29.3324791666667,29.0651875,29.1289791666667,29.1803541666667,28.9485416666667,29.5843125,29.0882083333333,29.4229375,29.8802083333333,29.438125,29.1755486120833,29.3632410708333
2024-07-18,"heating",29.4582916666667,29.0772916666667,29.2127916666667,29.2705208333333,29.0807083333333,29.7702916666667,29.210625,29.4322083333333,29.8431875,29.5944583333333,29.2494583345833,29.45742857125
2024-07-19,"heating",29.5551458333333,29.0683958333333,29.2128958333333,29.1965833333333,29.0429791666667,29.9754791666667,29.1270625,29.4250625,29.9227708333333,29.6982083333333,29.2788125,29.4840208333333
2024-07-20,"heating",29.467625,29.0511666666667,29.0418125,29.2325208333333,28.9097708333333,29.8644166666667,29.2547291666667,29.3999791666667,29.8099583333333,29.6609791666667,29.1868680554167,29.4474791670833
2024-07-21,"heating",29.2152916666667,28.9128541666667,28.8856041666667,28.6646875,28.6893958333333,29.550125,28.8483958333333,29.154125,29.5527916666667,29.4185,29.0045833320833,29.1254315479167
2024-07-22,"heating",29.3817083333333,28.9327916666667,29.2055416666667,29.0671875,29.5904166666667,29.5078541666667,29.2014166666667,29.4075416666667,29.966625,29.5639583333333,29.1733472216667,29.47214285625
2024-07-23,"heating",29.286875,28.9185208333333,29.1521666666667,29.0991875,29.8373125,29.380125,29.2573333333333,29.3606666666667,30.0597708333333,29.5359791666667,29.1191875004167,29.5043392854167
2024-07-24,"heating",29.2237291666667,28.851,29.1517083333333,29.0683125,29.8625208333333,29.2976875,29.2601875,29.2926458333333,30.11025,29.5201666666667,29.0754791658333,29.4873958333333
2024-07-25,"heating",29.1745833333333,28.9740625,29.0223958333333,29.2735833333333,29.8563541666667,29.3794166666667,29.3940833333333,29.2017291666667,30.1943125,29.4717708333333,29.0570138891667,29.5387500004167
2024-07-26,"heating",28.960875,28.9073541666667,28.9963333333333,29.1863333333333,29.7044583333333,29.1938333333333,29.1621458333333,29.0388541666667,30.0164375,29.2954791666667,28.95485416625,29.3710773808333
2024-07-27,"heating",29.0516458333333,28.9529791666667,28.7960416666667,29.0413333333333,29.43425,29.2775,28.9912291666667,29.0274375,29.5924375,29.3205416666667,28.9335555558333,29.2406755958333
2024-07-28,"heating",29.0883333333333,28.7545,28.7432708333333,28.6965833333333,29.1987916666667,29.0595,28.4817708333333,28.933,29.4341875,29.4462916666667,28.8620347216667,29.0357321433333
2024-07-29,"heating",27.6451875,27.4408541666667,27.4423958333333,27.3337291666667,27.6106666666667,27.6605416666667,27.70025,27.6096666666667,28.0973333333333,27.8440625,27.50947916625,27.69375
2024-07-30,"heating",30.0172,29.9397,30.116,29.98145,30.3223,30.22115,30.21955,30.1787,30.65775,30.4262,30.0243,30.286728572
2024-07-30,"recovery",25.2158928571429,25.1089285714286,25.1039285714286,24.9998928571429,25.1754642857143,25.2722857142857,25.3329285714286,25.1926071428571,25.648,25.4032857142857,25.1429166664286,25.2892091835714
2024-07-31,"recovery",25.549875,25.4006458333333,25.4290833333333,25.5129166666667,25.6080625,25.6300625,25.7384375,25.5990416666667,26.0470625,25.7218958333333,25.4598680554167,25.6939255958333
2024-08-01,"recovery",25.6363958333333,25.3750416666667,25.505,25.3932916666667,25.6341875,25.6721041666667,25.7052916666667,25.4209583333333,26.0415833333333,25.8474791666667,25.5054791670833,25.6735565475
2024-08-02,"recovery",25.6407291666667,25.3340625,25.5616041666667,25.4502291666667,25.6541875,25.6943125,25.7190833333333,25.5085833333333,26.0829375,25.8594375,25.51213194375,25.709824405
2024-08-03,"recovery",25.6838125,25.477625,25.6481041666667,25.4908541666667,25.8027291666667,25.6960208333333,25.8249375,25.6764166666667,25.9325208333333,25.8816458333333,25.6031805554167,25.7578749995833
2024-08-04,"recovery",25.6578541666667,25.4760625,25.6578333333333,25.5089375,25.7294583333333,25.6365625,25.6681666666667,25.5197916666667,25.9796458333333,25.8914583333333,25.59725,25.7048601195833
2024-08-05,"recovery",25.7211875,25.4859166666667,25.607375,25.7757708333333,25.7488958333333,25.5590416666667,25.7147083333333,25.6580416666667,25.994,25.9180833333333,25.6048263891667,25.76693452375
2024-08-06,"recovery",25.6740416666667,25.4704583333333,25.5620208333333,25.7237916666667,25.82225,25.5493125,25.6452291666667,25.4857916666667,25.9111666666667,25.8686458333333,25.5688402783333,25.7151696429167
2024-08-07,"recovery",25.7596041666667,25.4911041666667,25.4624166666667,25.6190416666667,25.7169791666667,25.6729791666667,25.6698125,25.7400625,25.863375,25.9809791666667,25.5710416675,25.7518898816667
2024-08-08,"recovery",25.7446875,25.4421041666667,25.4889375,25.6517291666667,25.7413333333333,25.5682916666667,25.5911041666667,26.4081,25.8769791666667,25.9305625,25.5585763891667,25.7304404766667
2024-08-09,"recovery",25.6750625,25.4515,25.691,25.6251041666667,25.8458541666667,25.4982708333333,25.3918541666667,28.82875,26.0195625,25.8429166666667,25.6058541670833,25.7218358145833
2024-08-10,"recovery",25.7301041666667,25.4595,25.5878958333333,25.6676666666667,25.7293541666667,25.6284791666667,25.4100416666667,NA,26.008,25.9209166666667,25.5924999991667,25.7274097229167
2024-08-11,"recovery",25.6654375,25.451375,25.5708125,25.723,25.7657083333333,25.3541875,25.234125,NA,25.9665,25.8490833333333,25.5625416666667,25.6487673616667
